DisplaycName,cName,cHKey3,cHKey4,dIntervalStart,dIntervalStartUTC,cReportGroup,nEnteredAcd,nAnsweredAcd,nAbandonedAcd,nFlowOutAcd,nHoldAcd,tHoldAcd,tTalkAcd,tAcw,tAnsweredACD,nAnsweredACDSvcLvl,nAnsweredAcdSvcLvl1,nAnsweredAcdSvcLvl2,nAnsweredAcdSvcLvl3,nAnsweredAcdSvcLvl4,nAnsweredAcdSvcLvl5,nAnsweredAcdSvcLvl6,nAbandonAcdSvcLvl1,nAbandonAcdSvcLvl2,nAbandonAcdSvcLvl3,nAbandonAcdSvcLvl4,nAbandonAcdSvcLvl5,nAbandonAcdSvcLvl6,cServiceLevels,Interval,IntervalSort,IntervalDateLoc,tHandle,tTalkACDOnly,LocalizedMediaType
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 11:00:00 AM","2/1/2022 4:00:00 PM","-",9,7,1,0,6,2532,5863,3297,3068,0,0,0,0,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 11:00:00 AM","9160","3331","Call"
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 11:15:00 AM","2/1/2022 4:15:00 PM","-",11,10,2,0,9,2996,4990,3359,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 11:15:00 AM","8349","1994","Call"
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 11:30:00 AM","2/1/2022 4:30:00 PM","-",12,10,0,0,5,1701,4900,4192,5125,0,0,0,0,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 11:30:00 AM","9092","3199","Call"
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 11:45:00 AM","2/1/2022 4:45:00 PM","-",13,6,0,0,7,2674,4787,5640,3731,0,0,0,0,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 11:45:00 AM","10427","2113","Call"
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 12:00:00 PM","2/1/2022 5:00:00 PM","-",6,6,3,0,1,1137,4053,4155,6360,0,0,0,0,0,0,0,0,0,1,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 12:00:00 PM","8208","2916","Call"
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 12:15:00 PM","2/1/2022 5:15:00 PM","-",7,10,3,0,3,1513,4495,2786,12087,0,0,0,0,0,0,0,0,0,1,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 12:15:00 PM","7281","2982","Call"
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 12:30:00 PM","2/1/2022 5:30:00 PM","-",11,9,1,0,5,1155,2781,5905,3426,0,0,0,0,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 12:30:00 PM","8686","1626","Call"
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 12:45:00 PM","2/1/2022 5:45:00 PM","-",9,9,2,0,7,1495,3815,3089,3391,0,0,0,0,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 12:45:00 PM","6904","2320","Call"
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 1:00:00 PM","2/1/2022 6:00:00 PM","-",10,10,0,0,5,1965,4639,4451,4146,0,0,0,0,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 1:00:00 PM","9090","2674","Call"
"PH_Kinray_CustomerService_Z1_English","ph_kinray_customerservice_z1_english","Call","*","2/1/2022 1:15:00 PM","2/1/2022 6:15:00 PM","-",10,12,0,0,6,1509,4430,3678,1200,7,3,1,3,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >5</VALUE>
<VALUE ID= 2 >10</VALUE>
<VALUE ID= 3 >20</VALUE>
<VALUE ID= 4 >30</VALUE>
<VALUE ID= 5 >40</VALUE>
<VALUE ID= 6 >50</VALUE>
<VALUE ID= 7 >60</VALUE>
<VALUE ID= 8 >120</VALUE>
</VALUES>","February","02","2/1/2022 1:15:00 PM","8108","2921","Call"
